BHAVA,RASI,GRAHA,LAGNA,Graha in Sign in House,Bepin’s Text,Ownership of the Graha,Sign in House,Graha in House,Graham in Sign,Ascendant of the chart in question,Line #,,,,,,,,,,,,
1,Taurus,Moon,Taurus Ascendant,Moon in Taurus in 1,"The MOON in Taurus compensates for any other difficulties thus produced. Though an individual under this planetary placement may not inherit any patrimony and may be abandoned by people close to him, his attraction to the opposite sex will be enormous and will persist despite any hardship. His appearance will be majestic; he has an amiable dispo­sition, and will be learned in mantras and tantras. Physically, he may have broad thighs and a big face and suffer from phlegm.",Owns Houses 3 and ,Taurus in 1,Moon in 1,Moon in Taurus,Taurus Ascendant,11,,,,,,,,,,,,
1,Taurus,Mercury,Taurus Ascendant,Mercury in Taurus in 1,"MERCURY in this sign creates a clever, skillful negotiator who may find success in the teaching profession. Though weak in physical strength, he has a well-proportioned body and ""the gift of gab."" Amiable by disposition, he will look youthful even in old age. He will have a good wife and children.",Owns Houses 2 and 5,Taurus in 1,Mercury in 1,Mercury in Taurus,Taurus Ascendant,12,,,,,,,,,,,,
1,Taurus,Venus,Taurus Ascendant,Venus in Taurus in 1,"VENUS in Taurus ushers in an individual of exceptional merit. He is honored by the state, powerful among the people, fearless and brave by disposition. He is talented, artistic, regal and affable and earns money through exertion and intelligence. In appearance be is well proportioned and extremely attractive.",Owns Houses 1 and 6,Taurus in 1,Venus in 1,Venus in Taurus,Taurus Ascendant,13,,,,,,,,,,,,
1,Taurus,Mars,Taurus Ascendant,Mars in Taurus in 1,"MARS produces a highly passionate individual who is often under the influence of the opposite sex. Such an individual is usually true to his friends but not to his spouse. He dresses well, lives overseas, is timid but harsh, and faces loss of property.",Owns Houses 12 and 7,Taurus in 1,Mars in 1,Mars in Taurus,Taurus Ascendant,14,,,,,,,,,,,,
1,Taurus,Jupiter,Taurus Ascendant,Jupiter in Taurus in 1,"JUPITER occupying Taurus in the First house gives a sound body, wealth and friends, but may render its native unethical, prone to engage in undesirable secret activities and indulge in alternative sexual relation­ ships.",Owns Houses 8 and 11,Taurus in 1,Jupiter in 1,Jupiter in Taurus,Taurus Ascendant,15,,,,,,,,,,,,
1,Taurus,Saturn,Taurus Ascendant,Saturn in Taurus in 1,"The last characteristic (see Jupiter above) is greatly accentuated if the Ascendant is occupied by SATURN instead of Jupiter. The person may be tall, bony and dark in appearance; be has endurance but may suffer from throat ailments. He attains a respectable status in life but often loses it. Whatever social position be attains, he may be constantly drawn into tawdry sexual affairs.",Owns Houses 9 and 10,Taurus in 1,Saturn in 1,Saturn in Taurus,Taurus Ascendant,16,,,,,,,,,,,,
1,Taurus,Rahu,Taurus Ascendant,Rahu in Taurus in 1,RAHU in Taurus bestows luck in the native's job and achievement of his desired object. He becomes crafty and may indulge in black magic or questionable practices.,Owns Houses 3 and ,Taurus in 1,Rahu in 1,Rahu in Taurus,Taurus Ascendant,17,,,,,,,,,,,,
1,Taurus,Ketu,Taurus Ascendant,Ketu in Taurus in 1,"With KETU in this position, the person seldom feels happy and may associate himself with neurotic partners.",Owns Houses 8 and 11,Taurus in 1,Ketu in 1,Ketu in Taurus,Taurus Ascendant,18,,,,,,,,,,,,
1,Gemini,Sun,Gemini Ascendant,Sun in Gemini in 1,The SUN in Gemini does not create a favorable impact - it may cause baldness and the native is often sick with fever. He is well versed in astrology and other occult subjects but his knowledge does not ensure a happy family relationship or marital bliss.,Owns Houses 3 and ,Gemini in 1,Sun in 1,Sun in Gemini,Gemini Ascendant,19,,,,,,,,,,,,
1,Gemini,Moon,Gemini Ascendant,Moon in Gemini in 1,"The MOON bestows a beautiful physical body, voluptuous eyes and an understanding of the feelings and thoughts of others. The native is erotically skilled and attractive to the opposite sex, leading to an agreeable married life - though fidelity is not assured. The Moon in Gemini may tend toward homosexuality. The native suffers from phlegm and often falls ill.",Owns Houses 2 and ,Gemini in 1,Moon in 1,Moon in Gemini,Gemini Ascendant,20,,,,,,,,,,,,
1,Gemini,Mercury,Gemini Ascendant,Mercury in Gemini in 1,"MERCURY as the Ascendant lord shapes an individual who is greatly desired for his social grace, intellectual attainment, scientific learning, artistic talent, and affluent conditions. The youthful appearance that is common with Mercury in the Ascendant is assured when conjoined with Venus, which gives sensuality to the face.",Owns Houses 1 and 4,Gemini in 1,Mercury in 1,Mercury in Gemini,Gemini Ascendant,21,,,,,,,,,,,,
1,Gemini,Venus,Gemini Ascendant,Venus in Gemini in 1,"A VENUS individual draws attention from the government and may perform important interpretative, diplomatic or negotiating acts for the state. He earns money overseas. He is very fond of his mother and derives much inspiration from her. He may nevertheless be prone to vice, fond of romance but unsteady in relationships, and often in trouble from his unbridled sensual urges.",Owns Houses 12 and 5,Gemini in 1,Venus in 1,Venus in Gemini,Gemini Ascendant,22,,,,,,,,,,,,
1,Gemini,Mars,Gemini Ascendant,Mars in Gemini in 1,"MARS has an adverse influence on a Gemini-born individual. He earns much money but becomes involved in litigation. He is intolerant, stingy and friendless and may suffer from blood diseases and nervous exhaustion.",Owns Houses 11 and 6,Gemini in 1,Mars in 1,Mars in Gemini,Gemini Ascendant,23,,,,,,,,,,,,
1,Gemini,Jupiter,Gemini Ascendant,Jupiter in Gemini in 1,JUPITER creates a graceful appearance and favorable external­,Owns Houses 7 and 10,Gemini in 1,Jupiter in 1,Jupiter in Gemini,Gemini Ascendant,24,,,,,,,,,,,,
1,Gemini,Saturn,Gemini Ascendant,Saturn in Gemini in 1,"The native with SATURN rising in Gemini is usually tall and rugged in appearance, unhappy, miserly, and suffers from family problems and respiratory troubles.",Owns Houses 8 and 9,Gemini in 1,Saturn in 1,Saturn in Gemini,Gemini Ascendant,25,,,,,,,,,,,,
1,Gemini,Rahu,Gemini Ascendant,Rahu in Gemini in 1,"RAHU in this position may, when afflicted, lean toward crime and perversity. Such an individual has exaggerated libidinous desires.",Owns Houses 2 and ,Gemini in 1,Rahu in 1,Rahu in Gemini,Gemini Ascendant,26,,,,,,,,,,,,
1,Gemini,Ketu,Gemini Ascendant,Ketu in Gemini in 1,KETU shapes an individual who is psychic but may have an unusual physical appearance.,Owns Houses 7 and 10,Gemini in 1,Ketu in 1,Ketu in Gemini,Gemini Ascendant,27,,,,,,,,,,,,
1,Cancer,Sun,Cancer Ascendant,Sun in Cancer in 1,"The SUN in the Ascendant creates an individual who is wealthy and has a powerful personality. He becomes opinionated, always thinking that he can do no wrong. He is passionate but unable to establish a cooperative partnership with his spouse. He undertakes long and weary journeys and is made to work for others.",Owns Houses 2 and ,Cancer in 1,Sun in 1,Sun in Cancer,Cancer Ascendant,28,,,,,,,,,,,,
1,Cancer,Moon,Cancer Ascendant,Moon in Cancer in 1,"The MOON is soothing in the Ascendant, but such an individual is often overly sensitive. Under favorable configurations, psychic faculties are easily developed and he becomes extremely sensitive and susceptible to the smallest changes in the physical and emotional environment. Such a planetary position often aids in marriage, for he has the endurance to weather any possible storms or conflicts. The health of this native needs much care as he is susceptible to the cold and changes of weather. He is likely to suffer from phlegm and fever (kapha and pitta disorders).",Owns Houses 1 and ,Cancer in 1,Moon in 1,Moon in Cancer,Cancer Ascendant,29,,,,,,,,,,,,
1,Cancer,Mercury,Cancer Ascendant,Mercury in Cancer in 1,"MERCURY is not a favorable influence for a Cancer-born person - it gives him beautiful form but his general vitality is low. The native may experience sexual impotency or frigidity. He arouses much hostility from his friends, siblings, and in other relationships, even with his spouse. This individual ca., earn his wealth from occupations pertaining to water resources.",Owns Houses 12 and 3,Cancer in 1,Mercury in 1,Mercury in Cancer,Cancer Ascendant,30,,,,,,,,,,,,
1,Cancer,Venus,Cancer Ascendant,Venus in Cancer in 1,"VENUS does not produce desirable results either. It lends a charming face and the desire to live a luxurious life but the temperament, though timid, is arrogant. The native is socially popular but solicits money from others. lie is rarely satisfied with a stable relationship because he is libidinous.",Owns Houses 11 and 4,Cancer in 1,Venus in 1,Venus in Cancer,Cancer Ascendant,31,,,,,,,,,,,,
1,Cancer,Mars,Cancer Ascendant,Mars in Cancer in 1,"MARS in the Ascendant produces an exceptionally robust person) who is extremely active. He makes many sea voyages to explore new lands and to research unknown areas. He may become a leader of armies, head of a community, or director of important national or international ventures. He will he attractive to the opposite sex and impulsive in character, often falling prey to sexual intrigues. Whatever happens to him externally, he is never at pea.ce within, and burns up with his own intensity.",Owns Houses 10 and 5,Cancer in 1,Mars in 1,Mars in Cancer,Cancer Ascendant,32,,,,,,,,,,,,
1,Cancer,Jupiter,Cancer Ascendant,Jupiter in Cancer in 1,"JUPITER rising shapes an individual who receives great honor from the government, is considered immensely learned, and is much respected for his character and advice. He is religious, philanthropical, and lucky. Toe native does well in his profession, though service careers are not always smooth.",Owns Houses 6 and 9,Cancer in 1,Jupiter in 1,Jupiter in Cancer,Cancer Ascendant,33,,,,,,,,,,,,
1,Cancer,Saturn,Cancer Ascendant,Saturn in Cancer in 1,"SATURN in the same position will give the opposite result. The native may be poor, miserable, bereft of good family relations and troubled in his career. He suffers from nervous exhaustion, and may lose his teeth early. There is a possibility he may develop serious spiritual interests.",Owns Houses 7 and 8,Cancer in 1,Saturn in 1,Saturn in Cancer,Cancer Ascendant,34,,,,,,,,,,,,
1,Cancer,Rahu,Cancer Ascendant,Rahu in Cancer in 1,"RAHU in Cancer gives may well be both libidinous and depressive. There is a tendency to conceal actions, emotions and thoughts such an individual is often deceitful. He champions the cause of criminals and undesirable persons.",Owns Houses 1 and ,Cancer in 1,Rahu in 1,Rahu in Cancer,Cancer Ascendant,35,,,,,,,,,,,,
1,Cancer,Ketu,Cancer Ascendant,Ketu in Cancer in 1,KETU may lead to mental conflict and emotional imbalance. Such a person needs to develop dependability and stability.,Owns Houses 6 and 9,Cancer in 1,Ketu in 1,Ketu in Cancer,Cancer Ascendant,36,,,,,,,,,,,,
1,Leo,Sun,Leo Ascendant,Sun in Leo in 1,"The SUN in the Ascendant makes the native invincible, enduring, and victorious over his enemies. He is strongly libidinous but not necessarily unfaithful. He has mathematical and philosophical insight which enables him to make valid judgments on the most meager experience. He likes to dwell in the forests, mountains and villages: he is admirably suited for spiritual studies and practices. Physically very graceful in appearance, he is prone to suffer from blood diseases and fever. (5)",Owns Houses 1 and ,Leo in 1,Sun in 1,Sun in Leo,Leo Ascendant,37,,,,,,,,,,,,
1,Leo,Moon,Leo Ascendant,Moon in Leo in 1,"	The MOON is inauspicious for a Leo Ascendant and leads to mental agony, unproductive efforts, extravagant habits and he suffers from stomach pain. The person pines for non-existent things and situations. He is fond of sea voyages and likes to establish his residence abroad. Physically he is energetic, has large cheeks, a broad face and reddish eyes. ",Owns Houses 12 and ,Leo in 1,Moon in 1,Moon in Leo,Leo Ascendant,38,,,,,,,,,,,,
1,Leo,Mercury,Leo Ascendant,Mercury in Leo in 1,"	With MERCURY in the Ascendant, the Leo native lacks a robust constitution. He is physically attractive and intellectually sharp but men­ tally unsound and constitutionally weak. He gains but little money through trade and authorship, is always traveling, and suffers from social or romantic humiliation.",Owns Houses 11 and 2,Leo in 1,Mercury in 1,Mercury in Leo,Leo Ascendant,39,,,,,,,,,,,,
1,Leo,Venus,Leo Ascendant,Venus in Leo in 1,"	VENUS rising introduces contradictions in the native's life: a spouse helps bring him luck and money and a female boss brings success and professional reward. But in spite of such favorable situations, the person often becomes manipulative and selfish.			",Owns Houses 10 and 3,Leo in 1,Venus in 1,Venus in Leo,Leo Ascendant,40,,,,,,,,,,,,
1,Leo,Mars,Leo Ascendant,Mars in Leo in 1,"	MARS is a lucky planet for the individual. It provides direction in his efforts with lucky results. The urge for rambling in the mountains and the forests is greatly accentuated. If he can control his impulsiveness, he can attain great heights in life.",Owns Houses 9 and 4,Leo in 1,Mars in 1,Mars in Leo,Leo Ascendant,41,,,,,,,,,,,,
1,Leo,Jupiter,Leo Ascendant,Jupiter in Leo in 1,"	JUPITER is a friendly planet for a Leo Ascendant and provides him with protection from ill health and ill luck. Under the impact of Jupiter, he becomes learned and acquires wisdom; he even attains a high status in life. But occasionally he suffers from scandal and is wrongly accused of concealing things. He should be careful of urinary tract infections.",Owns Houses 5 and 8,Leo in 1,Jupiter in 1,Jupiter in Leo,Leo Ascendant,42,,,,,,,,,,,,
1,Leo,Saturn,Leo Ascendant,Saturn in Leo in 1,"	SATURN rising in Leo may destroy all pleasures and creative faculties when afflicted. Such a person may suffer from physical ailments which will be very acute and difficult to cure. He may be poor, unsocial and frustrated with life. He has a tendency to associate with cruel and lowly people.",Owns Houses 6 and 7,Leo in 1,Saturn in 1,Saturn in Leo,Leo Ascendant,43,,,,,,,,,,,,
1,Leo,Rahu,Leo Ascendant,Rahu in Leo in 1,"	RAHU may sometimes lead to suicidal thoughts, anti-social behavior, surreptitious habits, and the appropriation of the wealth and property of others.",Owns Houses 12 and ,Leo in 1,Rahu in 1,Rahu in Leo,Leo Ascendant,44,,,,,,,,,,,,
1,Leo,Ketu,Leo Ascendant,Ketu in Leo in 1,"	KETU can bring a haggard appearance, mental suffering, and marital problems.",Owns Houses 5 and 8,Leo in 1,Ketu in 1,Ketu in Leo,Leo Ascendant,45,,,,,,,,,,,,
1,Virgo,Sun,Virgo Ascendant,Sun in Virgo in 1,"With the SUN in the Ascendant, the native may be a skilled writer, mathematician, or astrologer, but will have very feminine physical fea­tures. His vitality will seem low and he will be secretive by nature. His area of operation may be away from the home, in a distant land, possibly for a humanitarian cause.",Owns Houses 12 and ,Virgo in 1,Sun in 1,Sun in Virgo,Virgo Ascendant,46,,,,,,,,,,,,
1,Virgo,Moon,Virgo Ascendant,Moon in Virgo in 1,"When the MOON is in the Ascendant, !here will be no dearth of income, though it may fluctuate. Professional concerns will send this person traveling far and wide, bringing him into contact with many different kinds of people. He possesses much expertise and natural skill as a businessman dealing in overseas trade, a negotiator in international trade terms, or a diplomat arbitrating between differing groups. He is usually shy and amiable in disposition, possessing an imaginative insight. Sometimes he is so elusive that no one can decisively understand the workings of his mind.",Owns Houses 11 and ,Virgo in 1,Moon in 1,Moon in Virgo,Virgo Ascendant,47,,,,,,,,,,,,
1,Virgo,Mercury,Virgo Ascendant,Mercury in Virgo in 1,"MERCURY in Virgo placed in the Ascendant ushers in essentially great souls with matured levels of consciousness. Under normal circumstances this person will acquire fame because of his intellectual capabilities. His family life will be harmonious, his career eminently successful, and his excellence displayed in every action. He radiates an intellectual glow hut his health may be fragile at the same time. He is a natural leader among intellectuals and quite liberal in bestowing gifts. His friendly disposition and exceptional adaptability make him superbly suitable for diplomatic assignments. He is very likely an evolved soul.",Owns Houses 10 and 1,Virgo in 1,Mercury in 1,Mercury in Virgo,Virgo Ascendant,48,,,,,,,,,,,,
1,Virgo,Venus,Virgo Ascendant,Venus in Virgo in 1,"VENUS rising in Virgo combines health, wealth and an amiable disposition. An individual with such a planetary placement is very attrac­tive, but this may lead him to base, self-serving actions. He attains an important social status, displays a high order of artistic achievement, and enjoys much renown - family life is enjoyable. The life of the person is primarily intended to reap the fruits of past merits.",Owns Houses 9 and 2,Virgo in 1,Venus in 1,Venus in Virgo,Virgo Ascendant,49,,,,,,,,,,,,
1,Virgo,Mars,Virgo Ascendant,Mars in Virgo in 1,"MARS heralds warning of some impending danger. This individual has a penetrating insight, original thought, and can externalize his ideas into concrete results making for new discoveries and fruitful explorations, Yet somehow he lives in the shadow of some catastrophic danger lurking at important crossroads in his earthly pilgrimage. He should beware of his near and dear ones, for his closest relations or friends may deliver the fatal blow. He may unexpectedly find himself seducing someone else's spouse, even using physical force as.: well as persuasive thoughts and words. This combination is bad for physical injuries, accidents, blood pressure and nervous exhaustion. Such people should take precautions against diseases of the reproductive system.",Owns Houses 8 and 3,Virgo in 1,Mars in 1,Mars in Virgo,Virgo Ascendant,50,,,,,,,,,,,,
1,Virgo,Jupiter,Virgo Ascendant,Jupiter in Virgo in 1,"JUPITER in Virgo bestows stability, grace, protection and a religious insight. Vitality may be low but there will be a glow and grace on the face of the person. His temperament will be religious with much faith in formal worship. Marriage will be helpful in producing a happy, luxurious life full of respectable social relationships. The individual has a great deal of potential for spiritual knowledge.",Owns Houses 4 and 7,Virgo in 1,Jupiter in 1,Jupiter in Virgo,Virgo Ascendant,51,,,,,,,,,,,,
1,Virgo,Saturn,Virgo Ascendant,Saturn in Virgo in 1,"When SATURN occupies the First house, the native feels a strange suffocation and restrictions similar to imprisonment. He feels quite miserable, suffers from stomach disorders, blood pressure problems, and mental constraints. He is deeply critical and frustrated about everything around him. He can, however, produce masterpieces of unorthodox literature and propagate ground breaking philosophical ideas.",Owns Houses 5 and 6,Virgo in 1,Saturn in 1,Saturn in Virgo,Virgo Ascendant,52,,,,,,,,,,,,
1,Virgo,Rahu,Virgo Ascendant,Rahu in Virgo in 1,"RAHU rising in Virgo can spoil the general attitude of its natives. The person can be depressive and haggard in appearance. He will generally associate with undesirable groups of people, engage in illegal activities, and suffer from physical ailments hard to diagnose. Drug addiction, sex crimes, smuggling and espionage are additional unfortunate possibilities. ",Owns Houses 11 and ,Virgo in 1,Rahu in 1,Rahu in Virgo,Virgo Ascendant,53,,,,,,,,,,,,
1,Virgo,Ketu,Virgo Ascendant,Ketu in Virgo in 1,"The KETU native can be.come haggard and unpleasant in disposition,",Owns Houses 4 and 7,Virgo in 1,Ketu in 1,Ketu in Virgo,Virgo Ascendant,54,,,,,,,,,,,,
1,Libra,Sun,Libra Ascendant,Sun in Libra in 1,"The SUN occupying the First house in Libra may shape an individual who is extremely selfish, and frustrated through dissipation of his own vitality. There is sometimes a depressive feeling around such a person, for he never succeeds in projecting any enthusiasm for life. He often has an insatiable lust for money and personal gain. His married life is full of strain and the chance of divorce is high. He is often so crude in his sexual relationships that he destroys true intimacy between partners. He is fond of traveling on foot, i.e. walking, trekking and hitchhiking.",Owns Houses 11 and ,Libra in 1,Sun in 1,Sun in Libra,Libra Ascendant,55,,,,,,,,,,,,
1,Libra,Moon,Libra Ascendant,Moon in Libra in 1,"	The MOON rising in Libra produces a frail constitution, often with deficient limbs, and the native may suffer from phlegm and loss of vitality. He is ""sweet"" in social interaction, amiable in disposition but inwardly frustrated; he is religious yet covetous of others' wealth. His fortune is so uncertain that he is never sure about anything in his life.",Owns Houses 10 and ,Libra in 1,Moon in 1,Moon in Libra,Libra Ascendant,56,,,,,,,,,,,,
1,Libra,Mercury,Libra Ascendant,Mercury in Libra in 1,"	MERCURY in the Ascendant enables d1e native to enjoy respect from the state as well as from the people. His social demeanor and intellectual approach to life is appreciated, but an astrologer can never be sure about his financial prosperity. He will be extravagant, collecting gains from overseas trade. Nevertheless, he is likely to pass through sever-al difficult periods in life, occasionally even suffering from penury.",Owns Houses 9 and 12,Libra in 1,Mercury in 1,Mercury in Libra,Libra Ascendant,57,,,,,,,,,,,,
1,Libra,Venus,Libra Ascendant,Venus in Libra in 1,"	When VENUS occupies Libra, the native is regal in appearance. He leads a luxurious life, wields power over a large number of subordinates, and attains a powerful status in society. With much money at his com­mand, he is surrounded by extravagant comforts. His artistic abilities are highly accentuated. However, he may dissipate his energy in sexual escapades and clandestine extra-marital relationships.",Owns Houses 8 and 1,Libra in 1,Venus in 1,Venus in Libra,Libra Ascendant,58,,,,,,,,,,,,
1,Libra,Mars,Libra Ascendant,Mars in Libra in 1,"	When MARS occupies this sign, libidinous tendencies are greatly exaggerated, making the person insatiably lustful. He tends to spend money on lewd or illegal activities, is accident prone, and suffers from urinary diseases.",Owns Houses 7 and 2,Libra in 1,Mars in 1,Mars in Libra,Libra Ascendant,59,,,,,,,,,,,,
1,Libra,Jupiter,Libra Ascendant,Jupiter in Libra in 1,"	JUPITER is the killer planet for Libra Ascendants. Externally, the native's physical appearance is healthy; he is affluent and secure; but his personal and social life is full of tangled knots. He may even create self-destructive conditions for himself. Litigation, enmity, and wasted money are some of the hallmarks of Jupiter's influence when rising in Libra.",Owns Houses 3 and 6,Libra in 1,Jupiter in 1,Jupiter in Libra,Libra Ascendant,60,,,,,,,,,,,,
1,Libra,Saturn,Libra Ascendant,Saturn in Libra in 1,"	SATURN is exalted in Libra, and is ruler of a quadrant and a trine, making this planetary placement very auspicious. These conditions enable Saturn to bestow much honor, power and leadership, high status, wealth, extensive renown and social leadership to the native who is exceptionally gifted. The person has enduring health, a persevering attitude, and a sense of abandon in his life. The physical impact of the planet, however, is seldom pleasing, for in spite of an otherwise well-proportioned body, depression persists in the native's countenance. He is not very careful about his clothes. He may indulge in a tawdry or socially unacceptable relationship or covet another's spouse or wealth and suffer humiliation and loss of prestige at some time or other.",Owns Houses 4 and 5,Libra in 1,Saturn in 1,Saturn in Libra,Libra Ascendant,61,,,,,,,,,,,,
1,Libra,Rahu,Libra Ascendant,Rahu in Libra in 1,"	RAHU can form an individual who, under affliction, likes to indulge in mean or perverse acts and to associate with undesirable characters. He may suffer from diseases which are difficult to diagnose.",Owns Houses 10 and ,Libra in 1,Rahu in 1,Rahu in Libra,Libra Ascendant,62,,,,,,,,,,,,
1,Libra,Ketu,Libra Ascendant,Ketu in Libra in 1,"	KETU rising in Libra can shape a person who, under affliction, is cranky, disturbed, and unable to coordinate his work.",Owns Houses 3 and 6,Libra in 1,Ketu in 1,Ketu in Libra,Libra Ascendant,63,,,,,,,,,,,,
1,Scorpio,Sun,Scorpio Ascendant,Sun in Scorpio in 1,"Cruelty is exaggerated when the SUN is in this sign; in fact, all of Scorpio's undesirable characteristics are pronounced when the Sun rises here. The individual may receive money under the solar impulse but he will not spend it generously. Whether he becomes a drug dealer or a spy, whatever he does in life he will not stick to it - or to a relationship - for long.",Owns Houses 10 and ,Scorpio in 1,Sun in 1,Sun in Scorpio,Scorpio Ascendant,64,,,,,,,,,,,,
1,Scorpio,Moon,Scorpio Ascendant,Moon in Scorpio in 1,"A MOON in Scorpio native has expressive eyes, a broad chest, rounded loins and knees, and is unable to feel sure about himself. He receives honor from the state and cooperation from his colleagues, but the trials of his life never cease. He may be separated from his father with a mind full of guilt. He may have an insatiable carnal passion which a more conventional spouse cannot satisfy and he often indulges in infidelities. He may be mentally unstable and suffer from illness early in life.",Owns Houses 9 and ,Scorpio in 1,Moon in 1,Moon in Scorpio,Scorpio Ascendant,65,,,,,,,,,,,,
1,Scorpio,Mercury,Scorpio Ascendant,Mercury in Scorpio in 1,"MERCURY may shape a gambler, cheat, liar, and a deceptive character in general. He will be unscrupulous in his quest for personal gain, take to corrupt business practices, and probably get caught at it. The person may suffer from a speech defect.",Owns Houses 8 and 11,Scorpio in 1,Mercury in 1,Mercury in Scorpio,Scorpio Ascendant,66,,,,,,,,,,,,
1,Scorpio,Venus,Scorpio Ascendant,Venus in Scorpio in 1,VENUS here adds warmth to family life and the spouse is usually honorable. There will be happy partnerships between business colleagues and gains from overseas are common.,Owns Houses 7 and 12,Scorpio in 1,Venus in 1,Venus in Scorpio,Scorpio Ascendant,67,,,,,,,,,,,,
1,Scorpio,Mars,Scorpio Ascendant,Mars in Scorpio in 1,"With MARS rising in Scorpio life can be explosive: sins and criminal tendencies inevitably come to light with this planetary placement. Coura­geous and able to overcome adversaries, the person is susceptible to danger from fire, poison, and bloodshed. He is also likely to be reckless in speech and get involved in criminal conspiracies. He may experience early divorce and suffer from heart disease.",Owns Houses 6 and 1,Scorpio in 1,Mars in 1,Mars in Scorpio,Scorpio Ascendant,68,,,,,,,,,,,,
1,Scorpio,Jupiter,Scorpio Ascendant,Jupiter in Scorpio in 1,"With JUPITER, however, the circumstances will be very different. The individual is religious, wealthy, well-educated, and healthy. Difficulties in his personal life will be removed and the journey made smooth. He usually enjoys happiness, stability, and a satisfying family life.",Owns Houses 2 and 5,Scorpio in 1,Jupiter in 1,Jupiter in Scorpio,Scorpio Ascendant,69,,,,,,,,,,,,
